motion_a,motion_b,dtw_deg,aligned_deg,same_genre
gJS_sBM_cAll_d03_mJS2_ch02,gJS_sBM_cAll_d03_mJS3_ch02,1.7068,1.7627,True
gJS_sBM_cAll_d02_mJS0_ch02,gJS_sBM_cAll_d02_mJS1_ch02,1.7112,1.8097,True
gJS_sBM_cAll_d01_mJS1_ch02,gJS_sBM_cAll_d01_mJS2_ch02,1.909,2.1215,True
gJS_sBM_cAll_d01_mJS1_ch02,gJS_sBM_cAll_d01_mJS3_ch02,1.9798,2.1628,True
gJS_sBM_cAll_d03_mJS2_ch02,gJS_sBM_cAll_d03_mJS5_ch02,1.9931,2.0737,True
gJS_sBM_cAll_d03_mJS2_ch02,gJS_sBM_cAll_d03_mJS4_ch02,2.0207,2.1164,True
gJS_sBM_cAll_d02_mJS0_ch02,gJS_sBM_cAll_d02_mJS5_ch02,2.1146,2.2713,True
gJS_sBM_cAll_d01_mJS2_ch02,gJS_sBM_cAll_d01_mJS3_ch02,2.1239,2.3656,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d01_mJS1_ch01,2.1977,2.7265,True
gJS_sBM_cAll_d01_mJS0_ch02,gJS_sBM_cAll_d01_mJS2_ch02,2.2893,2.6306,True
gJS_sBM_cAll_d03_mJS3_ch02,gJS_sBM_cAll_d03_mJS5_ch02,2.3275,2.3591,True
gJS_sBM_cAll_d01_mJS2_ch01,gJS_sBM_cAll_d01_mJS3_ch01,2.3448,6.6531,True
gJS_sBM_cAll_d02_mJS1_ch02,gJS_sBM_cAll_d02_mJS5_ch02,2.3525,2.5604,True
gJS_sBM_cAll_d03_mJS3_ch02,gJS_sBM_cAll_d03_mJS4_ch02,2.4425,2.4825,True
gJS_sBM_cAll_d02_mJS4_ch02,gJS_sBM_cAll_d02_mJS5_ch02,2.4683,2.5775,True
gJS_sBM_cAll_d03_mJS4_ch02,gJS_sBM_cAll_d03_mJS5_ch02,2.4879,2.5697,True
gJS_sBM_cAll_d02_mJS0_ch02,gJS_sBM_cAll_d02_mJS4_ch02,2.5004,2.7812,True
gJS_sBM_cAll_d03_mJS2_ch01,gJS_sBM_cAll_d03_mJS3_ch01,2.5427,6.0621,True
gJS_sBM_cAll_d03_mJS3_ch01,gJS_sBM_cAll_d03_mJS5_ch01,2.5659,4.689,True
gJS_sBM_cAll_d03_mJS2_ch01,gJS_sBM_cAll_d03_mJS4_ch01,2.5764,4.4227,True
gJS_sBM_cAll_d01_mJS0_ch02,gJS_sBM_cAll_d01_mJS1_ch02,2.5882,2.7645,True
gJS_sBM_cAll_d03_mJS3_ch01,gJS_sBM_cAll_d03_mJS4_ch01,2.6462,4.1769,True
gJS_sBM_cAll_d02_mJS1_ch02,gJS_sBM_cAll_d02_mJS4_ch02,2.7436,3.0645,True
gJS_sBM_cAll_d02_mJS0_ch01,gJS_sBM_cAll_d02_mJS5_ch01,2.8138,8.2343,True
gJS_sBM_cAll_d01_mJS0_ch02,gJS_sBM_cAll_d01_mJS3_ch02,2.8569,3.0115,True
gJS_sBM_cAll_d03_mJS4_ch01,gJS_sBM_cAll_d03_mJS5_ch01,2.8855,5.7704,True
gJS_sBM_cAll_d03_mJS2_ch01,gJS_sBM_cAll_d03_mJS5_ch01,3.2227,6.9287,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d01_mJS3_ch01,4.0251,9.5145,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d01_mJS3_ch01,4.0723,9.2955,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d01_mJS2_ch01,4.6883,11.0526,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d01_mJS2_ch01,5.0875,11.0944,True
gPO_sBM_cAll_d12_mPO2_ch01,gPO_sBM_cAll_d12_mPO3_ch01,5.2497,5.2497,True
gPO_sBM_cAll_d11_mPO4_ch01,gPO_sBM_cAll_d11_mPO5_ch01,5.3731,5.7776,True
gJS_sBM_cAll_d01_mJS1_ch02,gJS_sBM_cAll_d01_mJS3_ch05,5.6477,6.6204,True
gJS_sBM_cAll_d01_mJS2_ch02,gJS_sBM_cAll_d01_mJS3_ch05,5.7054,6.3965,True
gJS_sBM_cAll_d01_mJS3_ch02,gJS_sBM_cAll_d01_mJS3_ch05,5.7397,6.765,True
gPO_sBM_cAll_d10_mPO0_ch02,gPO_sBM_cAll_d10_mPO2_ch02,5.8054,7.3297,True
gJS_sBM_cAll_d02_mJS1_ch01,gJS_sBM_cAll_d02_mJS4_ch01,6.101,12.051,True
gPO_sBM_cAll_d12_mPO3_ch01,gPO_sBM_cAll_d12_mPO4_ch01,6.1207,6.1207,True
gJS_sBM_cAll_d01_mJS0_ch02,gJS_sBM_cAll_d01_mJS3_ch05,6.1228,7.1765,True
gPO_sBM_cAll_d10_mPO0_ch02,gPO_sBM_cAll_d10_mPO1_ch02,6.1729,9.1602,True
gPO_sBM_cAll_d12_mPO2_ch01,gPO_sBM_cAll_d12_mPO4_ch01,6.5946,6.5946,True
gHO_sBM_cAll_d19_mHO1_ch01,gHO_sBM_cAll_d19_mHO2_ch01,6.6775,8.8135,True
gKR_sBM_cAll_d28_mKR1_ch02,gKR_sBM_cAll_d28_mKR2_ch02,6.769,7.8217,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d10_mPO2_ch01,7.0513,21.7306,True
gPO_sBM_cAll_d11_mPO0_ch02,gPO_sBM_cAll_d11_mPO4_ch02,7.0763,8.7047,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d02_mJS4_ch01,7.091,9.3676,True
gJS_sBM_cAll_d02_mJS1_ch01,gJS_sBM_cAll_d03_mJS3_ch01,7.215,12.4513,True
gJS_sBM_cAll_d03_mJS3_ch02,gPO_sBM_cAll_d10_mPO1_ch05,7.2536,7.2536,False
gJS_sBM_cAll_d02_mJS1_ch01,gJS_sBM_cAll_d03_mJS4_ch01,7.331,12.8379,True
gHO_sBM_cAll_d19_mHO0_ch01,gHO_sBM_cAll_d19_mHO2_ch01,7.3764,8.4047,True
gLO_sBM_cAll_d13_mLO2_ch01,gLO_sBM_cAll_d15_mLO4_ch01,7.4047,7.7885,True
gJS_sBM_cAll_d01_mJS2_ch01,gJS_sBM_cAll_d02_mJS1_ch01,7.4236,9.6495,True
gHO_sBM_cAll_d19_mHO0_ch01,gHO_sBM_cAll_d19_mHO1_ch01,7.5162,8.2089,True
gJB_sBM_cAll_d08_mJB4_ch02,gJB_sBM_cAll_d08_mJB5_ch02,7.524,9.8573,True
gLO_sBM_cAll_d13_mLO2_ch01,gLO_sBM_cAll_d13_mLO3_ch01,7.5363,8.0691,True
gLO_sBM_cAll_d13_mLO0_ch01,gLO_sBM_cAll_d13_mLO2_ch01,7.557,9.1414,True
gJS_sBM_cAll_d01_mJS3_ch01,gJS_sBM_cAll_d02_mJS4_ch01,7.5627,12.4223,True
gPO_sBM_cAll_d10_mPO1_ch02,gPO_sBM_cAll_d10_mPO2_ch02,7.5714,9.1252,True
gJS_sBM_cAll_d03_mJS2_ch02,gPO_sBM_cAll_d10_mPO1_ch05,7.6096,7.6096,False
gPO_sBM_cAll_d11_mPO0_ch01,gPO_sBM_cAll_d12_mPO4_ch01,7.6205,8.0508,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d02_mJS4_ch01,7.7004,9.6343,True
gHO_sBM_cAll_d20_mHO4_ch01,gHO_sBM_cAll_d20_mHO5_ch01,7.7316,8.241,True
gJB_sBM_cAll_d09_mJB3_ch01,gJB_sBM_cAll_d09_mJB4_ch01,7.754,13.5258,True
gPO_sBM_cAll_d11_mPO0_ch01,gPO_sBM_cAll_d11_mPO1_ch01,7.8366,8.5078,True
gPO_sBM_cAll_d11_mPO0_ch01,gPO_sBM_cAll_d11_mPO4_ch01,7.8691,9.2996,True
gJB_sBM_cAll_d07_mJB0_ch01,gJB_sBM_cAll_d07_mJB1_ch01,7.8844,9.2307,True
gPO_sBM_cAll_d11_mPO0_ch01,gPO_sBM_cAll_d11_mPO5_ch01,7.9073,8.9018,True
gJS_sBM_cAll_d01_mJS3_ch01,gJS_sBM_cAll_d02_mJS1_ch01,7.9166,9.8714,True
gLO_sBM_cAll_d13_mLO1_ch02,gLO_sBM_cAll_d13_mLO3_ch02,7.9197,9.2124,True
gJS_sBM_cAll_d02_mJS4_ch01,gJS_sBM_cAll_d03_mJS4_ch01,7.9351,11.0258,True
gPO_sBM_cAll_d12_mPO2_ch02,gPO_sBM_cAll_d12_mPO3_ch02,7.971,9.2168,True
gPO_sBM_cAll_d12_mPO3_ch01,gPO_sBM_cAll_d12_mPO5_ch01,7.9715,8.5158,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d12_mPO4_ch01,7.9797,8.7543,True
gPO_sBM_cAll_d11_mPO4_ch02,gPO_sBM_cAll_d11_mPO5_ch02,8.038,8.6845,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d12_mPO3_ch01,8.0571,8.9125,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d10_mPO3_ch01,8.0913,25.0489,True
gJS_sBM_cAll_d02_mJS4_ch01,gJS_sBM_cAll_d03_mJS2_ch01,8.0944,12.7069,True
gJS_sBM_cAll_d02_mJS1_ch01,gJS_sBM_cAll_d03_mJS5_ch01,8.1102,13.8423,True
gPO_sBM_cAll_d11_mPO1_ch01,gPO_sBM_cAll_d11_mPO5_ch01,8.1225,9.3681,True
gJS_sBM_cAll_d02_mJS1_ch01,gJS_sBM_cAll_d03_mJS2_ch01,8.138,13.9322,True
gJS_sBM_cAll_d01_mJS2_ch01,gJS_sBM_cAll_d02_mJS4_ch01,8.1748,13.8727,True
gHO_sBM_cAll_d20_mHO4_ch02,gHO_sBM_cAll_d20_mHO5_ch02,8.1867,9.4125,True
gJS_sBM_cAll_d03_mJS4_ch02,gPO_sBM_cAll_d10_mPO1_ch05,8.2388,8.2388,False
gJS_sBM_cAll_d01_mJS2_ch01,gJS_sBM_cAll_d03_mJS3_ch01,8.2388,10.0789,True
gJS_sBM_cAll_d03_mJS5_ch02,gPO_sBM_cAll_d10_mPO1_ch05,8.2426,8.2426,False
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d11_mPO4_ch01,8.2643,8.4426,True
gLO_sBM_cAll_d15_mLO2_ch01,gLO_sBM_cAll_d15_mLO3_ch01,8.2668,8.3505,True
gJS_sBM_cAll_d01_mJS2_ch01,gJS_sBM_cAll_d03_mJS4_ch01,8.2745,10.7046,True
gPO_sBM_cAll_d11_mPO0_ch01,gPO_sBM_cAll_d12_mPO2_ch01,8.2998,8.8706,True
gJS_sBM_cAll_d01_mJS2_ch01,gJS_sBM_cAll_d03_mJS2_ch01,8.3149,11.3139,True
gJB_sBM_cAll_d07_mJB1_ch01,gJB_sBM_cAll_d07_mJB2_ch01,8.3647,10.0055,True
gLO_sBM_cAll_d13_mLO1_ch01,gLO_sBM_cAll_d13_mLO2_ch01,8.3775,9.1627,True
gLO_sBM_cAll_d13_mLO0_ch01,gLO_sBM_cAll_d13_mLO1_ch01,8.3927,8.8815,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d11_mPO0_ch01,8.396,9.3409,True
gLO_sBM_cAll_d15_mLO3_ch02,gLO_sBM_cAll_d15_mLO4_ch02,8.404,9.2597,True
gHO_sBM_cAll_d21_mHO2_ch02,gHO_sBM_cAll_d21_mHO3_ch02,8.4706,14.3121,True
