audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.995514600,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,3.0228084778358746e-11,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000010207,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.071978556,right_wrist_yaw,0.000000000,,0.071978556,right_wrist_yaw,0.000000000,,0.000000,0.000000,0.829193,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.056000,0.071674100,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.150667511,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.225611235,left_wrist_yaw,2.766966548,left_wrist_yaw,0.225611235,left_wrist_yaw,3.805147875,left_wrist_yaw,0.015312,0.082514,0.805412,-1.026989,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,10.526493,8.442064,289.914520,,0.001077586,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.120000,0.130118700,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.158874466,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.148385242,right_wrist_yaw,1.745523994,left_wrist_yaw,0.148385242,right_wrist_yaw,2.138336388,left_wrist_yaw,0.003181,0.073674,0.813508,-0.986575,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.720664,5.451949,335.675144,,0.001021711,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.152000,0.179834900,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.165930819,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.172368773,right_wrist_yaw,0.003544829,right_wrist_yaw,0.172368773,right_wrist_yaw,0.005526499,right_wrist_yaw,-0.016043,0.068805,0.836015,-0.930035,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.217281,0.170287,47.512687,,0.000978234,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.216000,0.238063600,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.174197280,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.171832955,right_wrist_yaw,0.063501355,left_wrist_roll,0.171832955,right_wrist_yaw,0.091129167,left_wrist_roll,-0.039405,0.060139,0.851510,-0.823260,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.142636,0.114505,13.693309,,0.000931966,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.280000,0.296420500,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.182402414,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.224532300,right_wrist_yaw,1.000863257,left_wrist_yaw,0.224532300,right_wrist_yaw,1.286522774,left_wrist_yaw,-0.057111,0.054062,0.844144,-0.722246,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,,,11.738378,9.246535,841.947791,,0.000889878,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.312000,0.329589500,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.187109958,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.201719372,right_wrist_yaw,0.862298571,left_wrist_yaw,0.201719372,right_wrist_yaw,1.112597377,left_wrist_yaw,-0.066803,0.050305,0.830645,-0.674563,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,,,11.507383,9.382617,407.502600,,0.000867491,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.312000,0.347403600,beat_limiter_result,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.189482216,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.192079292,right_wrist_yaw,0.520639421,right_wrist_yaw,0.192079292,right_wrist_yaw,0.640846924,right_wrist_yaw,-0.073279,0.049719,0.823877,-0.647470,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,2.750486,2.251837,549.557754,,0.000856714,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.376000,0.388323300,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.195419464,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.176492354,right_wrist_yaw,0.719554670,right_wrist_roll,0.176492354,right_wrist_yaw,0.825253085,right_wrist_roll,-0.084278,0.049644,0.811104,-0.581017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,4.546986,3.798958,307.163621,,0.000830910,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.408000,0.421663700,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.200062574,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.167368356,right_wrist_yaw,0.928628500,right_wrist_roll,0.167368356,right_wrist_yaw,1.177757105,right_wrist_roll,-0.088579,0.052892,0.805293,-0.528141,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,11.549826,9.498984,88.207806,,0.000811359,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
