audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000056,0.004255400,,hermite,preparing,,0.0,0.0,0.0,0,1.3748074130919954e-11,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000007849,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.071922808,right_wrist_yaw,0.000000000,,0.071922808,right_wrist_yaw,0.000000000,,0.000000,0.000000,0.829205,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.064506,0.072752600,,hermite,preparing,,0.0,0.0,0.0,0,0.017532006050260052,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.009106744,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.093118094,right_wrist_yaw,2.404322541,right_wrist_yaw,0.093118094,right_wrist_yaw,0.666279406,right_wrist_yaw,-0.003781,0.005370,0.794775,-0.084005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,8.959493,8.519541,203.189930,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.111800,0.118265700,,hermite,preparing,,0.0,0.0,0.0,0,0.0776513545851431,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.015783529,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.043330567,left_wrist_roll,2.852468522,right_wrist_yaw,0.043330567,left_wrist_roll,1.437069767,right_wrist_yaw,-0.000061,0.009575,0.785456,-0.117434,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.830641,6.177049,207.712545,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.152419,0.155686800,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,0.1695390905947283,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.021517962,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.046460278,left_wrist_roll,0.838365606,right_wrist_yaw,0.046460278,left_wrist_roll,1.010907256,right_wrist_yaw,0.009901,0.015621,0.782887,-0.153897,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.419094,3.648789,152.158907,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.202300,0.205241600,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,0.32541779620564215,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.028559958,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.048669965,left_wrist_roll,0.494704067,left_wrist_yaw,0.048669965,left_wrist_roll,0.561630164,left_wrist_yaw,0.021932,0.027747,0.788035,-0.204968,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.914083,5.797912,88.646314,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.252308,0.255394100,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,0.5086530084912521,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.035619896,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.056834634,left_wrist_roll,0.575383083,right_wrist_yaw,0.056834634,left_wrist_roll,0.656910993,right_wrist_yaw,0.021205,0.042196,0.803374,-0.229614,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.678044,5.477129,39.067473,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.301956,0.304832700,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,0.68929832249955,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.042629111,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.074371633,left_wrist_yaw,0.443415184,left_wrist_yaw,0.074371633,left_wrist_yaw,0.550870112,left_wrist_yaw,0.016586,0.059278,0.826379,-0.298622,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.887732,1.555173,83.520333,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.352421,0.355216300,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,0.8432671122108678,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.049753581,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.111007284,left_wrist_yaw,0.681010189,left_wrist_yaw,0.111007284,left_wrist_yaw,0.828624709,left_wrist_yaw,0.011192,0.076889,0.833878,-0.430501,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.681287,4.754050,125.508355,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.402330,0.405552100,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,0.9455957908515105,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.056799473,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.130638864,left_wrist_yaw,0.287145723,right_wrist_yaw,0.130638864,left_wrist_yaw,0.326428078,right_wrist_yaw,-0.000957,0.091838,0.824442,-0.541574,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.277240,4.377099,49.121012,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.452004,0.455829900,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,0.9923795900763364,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.063812344,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.121718491,left_wrist_yaw,0.292831619,right_wrist_yaw,0.121718491,left_wrist_yaw,0.378042369,right_wrist_yaw,-0.015999,0.102987,0.808728,-0.627266,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.463747,1.841022,61.753930,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.502043,0.505118300,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.070876631,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.115626852,left_wrist_yaw,0.724780377,right_wrist_yaw,0.115626852,left_wrist_yaw,0.942884692,right_wrist_yaw,-0.035078,0.107202,0.800349,-0.682629,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,8.609762,6.990677,52.918437,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.552441,0.555674700,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.077991642,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.098925266,left_wrist_yaw,0.432209021,left_wrist_roll,0.098925266,left_wrist_yaw,0.542757963,left_wrist_roll,-0.043557,0.097487,0.798548,-0.716643,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.567832,4.494743,95.758015,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.602029,0.605138500,,hermite,failed,Candidates and replay infeasible: No feasible Hermite duration in the search interval,0.0,0.0,0.0,0,1.0,0,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.084992358,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.073433004,left_wrist_yaw,0.493249138,right_wrist_yaw,0.073433004,left_wrist_yaw,0.604463094,right_wrist_yaw,-0.042158,0.086607,0.802080,-0.822513,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.854631,5.687603,81.180013,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
