audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.995874800,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,2.320479141484483e-11,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.000008986,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.147482064,left_wrist_yaw,0.000000000,,0.147482064,left_wrist_yaw,0.000000000,,0.000000,0.000000,0.812850,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.056000,0.072033000,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.144889127,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.164250062,left_wrist_yaw,0.062466482,right_wrist_yaw,0.164250062,left_wrist_yaw,0.071631602,right_wrist_yaw,-0.017031,0.010036,0.813870,0.003146,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.239245,1.006439,47.451629,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.120000,0.138322800,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.153922398,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.164383117,left_wrist_yaw,0.058311008,left_wrist_pitch,0.164383117,left_wrist_yaw,0.071467977,left_wrist_pitch,-0.017275,0.009995,0.814265,0.004063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.140325,0.945455,15.581462,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.152000,0.171675600,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.158423348,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.164503024,left_wrist_yaw,0.002611176,right_wrist_yaw,0.164503024,left_wrist_yaw,0.003742077,right_wrist_yaw,-0.017411,0.009528,0.814532,0.003942,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.119478,0.096012,11.162646,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.216000,0.229672100,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.166322932,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.163878778,left_wrist_yaw,0.067461876,left_wrist_roll,0.163878778,left_wrist_yaw,0.079358324,left_wrist_roll,-0.015578,0.007720,0.814685,0.004163,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.107722,0.091151,8.890595,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.280000,0.288128700,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.174268276,,0.000000,,,,,,,,,,0.000000,beat-sync,1.016205,1.000000,,0.140601403,0.163361290,left_wrist_yaw,0.053078674,left_wrist_roll,0.163361290,left_wrist_yaw,0.061073149,left_wrist_roll,-0.014082,0.004487,0.814639,0.005382,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.280000,0.000000000,,,0.123778,0.107207,12.731044,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.312000,0.321192500,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.179046717,,0.000000,,,,,,,,,,0.000000,beat-sync,1.082760,1.000000,,0.140340846,0.163242340,left_wrist_yaw,0.027521033,right_wrist_roll,0.163242340,left_wrist_yaw,0.035037574,right_wrist_roll,-0.014415,0.001704,0.814686,0.008731,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.280000,0.000000000,,,0.293579,0.243109,30.613808,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.344000,0.354547100,beat_limiter_result,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.184139244,,0.000000,,,,,,,,,,0.000000,beat-sync,1.149485,1.000000,,0.139778423,0.163178004,left_wrist_yaw,0.020456050,left_wrist_roll,0.163178004,left_wrist_yaw,0.027046247,left_wrist_roll,-0.014710,-0.002171,0.814749,0.014691,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.280000,0.000000000,0.000000000,,0.255458,0.208045,26.635696,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.376000,0.388257500,,hermite,awaiting_retrieval,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.189577254,,0.000000,,,,,,,,,,0.000000,beat-sync,1.216727,1.000000,,0.138906323,0.163163375,left_wrist_yaw,0.014256014,left_wrist_roll,0.163163375,left_wrist_yaw,0.017765832,left_wrist_roll,-0.015972,-0.007250,0.814780,0.021673,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.280000,0.000000000,0.000000000,,0.153479,0.127342,15.489798,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.408000,0.429767000,,hermite,awaiting_retrieval,,0.0,0.0,0.0,1,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.196696710,,0.000000,,,,,,,,,,0.000000,beat-sync,1.299553,1.000000,,0.137411922,0.180367985,left_wrist_yaw,1.882168377,right_wrist_yaw,0.180367985,left_wrist_yaw,2.347346785,right_wrist_yaw,-0.015248,-0.015486,0.814553,0.028807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.280000,0.000000000,0.000000000,,17.732999,13.180265,948.431495,right_hip_roll,0.000201654,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
