audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000056,0.003675600,,hermite,preparing,,0.0,0.0,0.0,0,1.3748074130919954e-11,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.000007548,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.147478684,left_wrist_yaw,0.000000000,,0.147478684,left_wrist_yaw,0.000000000,,0.000000,0.000000,0.812850,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.053124,0.056497900,,hermite,ready,,0.0,0.0,0.0,0,0.010163688746772832,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.007211403,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.158686788,left_wrist_yaw,0.277049306,left_wrist_pitch,0.158686788,left_wrist_yaw,0.333956897,left_wrist_pitch,0.001148,-0.000269,0.811727,0.003630,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,7.891751,6.389277,515.063132,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.102979,0.106064600,,hermite,ready,,0.0,0.0,0.0,0,0.06259837180003684,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.013979077,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.158096188,left_wrist_yaw,0.019456595,right_wrist_yaw,0.158096188,left_wrist_yaw,0.023663605,right_wrist_yaw,-0.002846,-0.000250,0.812189,0.003278,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.564356,0.458359,228.983975,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.152902,0.155890100,,hermite,ready,,0.0,0.0,0.0,0,0.17084279625336332,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.020755914,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.157616408,left_wrist_yaw,0.010365261,left_wrist_yaw,0.157616408,left_wrist_yaw,0.012384002,left_wrist_yaw,0.000406,0.000003,0.811678,0.004554,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.388689,0.325943,219.642094,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.203315,0.206205200,,hermite,ready,,0.0,0.0,0.0,0,0.32896004710887194,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.027599376,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.156916576,left_wrist_yaw,0.016234347,left_wrist_yaw,0.156916576,left_wrist_yaw,0.020250307,left_wrist_yaw,-0.003883,0.000267,0.812312,0.003055,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.414778,0.345823,228.771759,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.252963,0.256016900,,hermite,ready,,0.0,0.0,0.0,0,0.5111109593042895,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.034338896,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.156621586,left_wrist_yaw,0.006270885,left_wrist_roll,0.156621586,left_wrist_yaw,0.007822024,left_wrist_roll,-0.001036,0.000541,0.811932,0.003616,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.415131,0.344797,225.936073,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.303539,0.306554500,,hermite,ready,,0.0,0.0,0.0,0,0.6947177729578791,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.041204416,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.156910433,left_wrist_yaw,0.031903433,right_wrist_yaw,0.156910433,left_wrist_yaw,0.034318494,right_wrist_yaw,-0.005470,0.000716,0.812400,0.002899,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.444075,0.375753,208.360639,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.353527,0.356587800,,hermite,ready,,0.0,0.0,0.0,0,0.8461258944762475,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.047990077,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.157435306,left_wrist_yaw,0.021236434,right_wrist_yaw,0.157435306,left_wrist_yaw,0.022655386,right_wrist_yaw,-0.003121,0.000958,0.811885,0.004697,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.331609,0.285138,213.358226,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.403574,0.406291200,,hermite,ready,,0.0,0.0,0.0,0,0.9474221017286987,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.054783747,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.157788516,left_wrist_yaw,0.025000560,right_wrist_yaw,0.157788516,left_wrist_yaw,0.028461476,right_wrist_yaw,-0.007481,0.001157,0.812363,0.005332,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.392701,0.330989,218.178695,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.453188,0.456162300,,hermite,ready,,0.0,0.0,0.0,0,0.9929025961260511,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.061518679,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.158457506,left_wrist_yaw,0.011202095,left_wrist_yaw,0.158457506,left_wrist_yaw,0.014161439,left_wrist_yaw,-0.005061,0.001530,0.812022,0.007699,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.267460,0.216758,238.415390,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
