audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000031,0.002465500,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000000000,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.071736909,right_wrist_yaw,0.000000000,,0.071736909,right_wrist_yaw,0.000000000,,0.000000,0.000000,0.829246,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.050579,0.053020100,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.007119479,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.106733151,right_wrist_yaw,0.444410741,right_wrist_roll,0.106733151,right_wrist_yaw,0.527575658,right_wrist_roll,-0.003763,0.003141,0.799810,-0.069313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,11.439172,9.487524,37.883850,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.100161,0.102514000,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.014102761,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.058073226,right_wrist_yaw,1.065432876,left_wrist_pitch,0.058073226,right_wrist_yaw,1.289970260,left_wrist_pitch,0.000668,0.008162,0.789320,-0.104356,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.885054,4.892755,10.352762,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.150546,0.153113200,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.021199282,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.046126679,left_wrist_roll,1.057642400,right_wrist_roll,0.046126679,left_wrist_roll,1.309845243,right_wrist_roll,0.009259,0.014974,0.782766,-0.151588,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.271408,4.240469,5.960808,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.200221,0.202865400,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.028195746,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.048198637,left_wrist_roll,0.501937754,right_wrist_pitch,0.048198637,left_wrist_roll,0.608799031,right_wrist_pitch,0.021668,0.027053,0.787556,-0.203461,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,7.075174,5.757786,15.564798,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.250600,0.253168700,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.035291352,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.056467604,left_wrist_roll,0.603727447,right_wrist_yaw,0.056467604,left_wrist_roll,0.680047858,right_wrist_yaw,0.021374,0.041473,0.802366,-0.228649,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.709259,5.495059,58.418647,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.300173,0.302582000,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.042273479,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.073183618,left_wrist_yaw,0.384702086,left_wrist_yaw,0.073183618,left_wrist_yaw,0.480205321,left_wrist_yaw,0.016701,0.058421,0.825633,-0.292414,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.415184,1.968739,22.610710,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.350113,0.352640500,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.049307366,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.108923562,left_wrist_yaw,0.659179688,left_wrist_yaw,0.108923562,left_wrist_yaw,0.919434942,left_wrist_yaw,0.011886,0.075842,0.833895,-0.422298,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.083929,4.044249,27.590825,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.400422,0.402925200,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.056393127,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.130256906,left_wrist_yaw,0.216752887,right_wrist_yaw,0.130256906,left_wrist_yaw,0.257807124,right_wrist_yaw,-0.000291,0.091113,0.825371,-0.536074,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.388706,4.405523,8.451678,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.450558,0.453579600,,quintic,legacy,,,,,0,0.0,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.063454521,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.121616624,left_wrist_yaw,0.353750736,right_wrist_yaw,0.121616624,left_wrist_yaw,0.406436254,right_wrist_yaw,-0.014882,0.102385,0.809267,-0.623706,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.083907,1.667011,44.064787,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
