audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000058,0.003516100,,ruckig,preparing,,0.0,0.0,0.0,0,1.5768235408991692e-11,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.000007900,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.147479513,left_wrist_yaw,0.000000000,,0.147479513,left_wrist_yaw,0.000000000,,0.000000,0.000000,0.812850,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.108323,0.113193100,,ruckig,preparing,,0.0,0.0,0.0,0,0.07150261562097403,0,gJS_sBM_cAll_d03_mJS5_ch02,,,0.000000,,,,,,,0.014704425,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.158052157,left_wrist_yaw,18.842018860,left_wrist_pitch,0.158052157,left_wrist_yaw,1.462360125,left_wrist_pitch,-0.001041,-0.000214,0.811931,0.003755,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.669854,4.558797,41.448169,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.155325,0.158668700,,ruckig,ready,,0.0,0.0,0.0,0,0.17745145705730417,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.021084787,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.157578925,left_wrist_yaw,0.016717287,right_wrist_yaw,0.157578925,left_wrist_yaw,0.021422862,right_wrist_yaw,-0.000464,0.000010,0.811800,0.004319,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.646308,0.512159,319.261582,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.206035,0.208994900,,ruckig,ready,,0.0,0.0,0.0,0,0.33849894708445727,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.027968552,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.156884537,left_wrist_yaw,0.015164802,left_wrist_yaw,0.156884537,left_wrist_yaw,0.017412313,left_wrist_yaw,-0.002977,0.000290,0.812190,0.003284,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.660028,0.553010,312.151142,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.255313,0.258504700,,ruckig,ready,,0.0,0.0,0.0,0,0.5199170024819885,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.034657846,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.156616147,left_wrist_yaw,0.020510431,right_wrist_yaw,0.156616147,left_wrist_yaw,0.026253822,right_wrist_yaw,-0.001892,0.000545,0.812048,0.003397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.607378,0.490548,317.988510,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.305315,0.308378100,,ruckig,ready,,0.0,0.0,0.0,0,0.7007613568532076,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.041445502,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.156934920,left_wrist_yaw,0.015496212,right_wrist_yaw,0.156934920,left_wrist_yaw,0.019358554,right_wrist_yaw,-0.004884,0.000728,0.812313,0.003074,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.502552,0.412905,317.705943,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.355441,0.358832100,,ruckig,ready,,0.0,0.0,0.0,0,0.8510162212679202,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.048249964,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.157444617,left_wrist_yaw,0.033725451,right_wrist_yaw,0.157444617,left_wrist_yaw,0.043058237,right_wrist_yaw,-0.003826,0.000959,0.811974,0.004600,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.643660,0.520883,314.097507,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.405582,0.408668800,,ruckig,ready,,0.0,0.0,0.0,0,0.9502954193527269,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.055056353,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.157815848,left_wrist_yaw,0.011884643,left_wrist_yaw,0.157815848,left_wrist_yaw,0.014496083,left_wrist_yaw,-0.006824,0.001177,0.812274,0.005561,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.546198,0.447320,310.373623,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.455253,0.458893600,,ruckig,ready,,0.0,0.0,0.0,0,0.9937599074159729,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.061799009,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.158477047,left_wrist_yaw,0.020003473,right_wrist_yaw,0.158477047,left_wrist_yaw,0.024308156,right_wrist_yaw,-0.005820,0.001537,0.812121,0.007579,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.528428,0.418056,283.425230,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
0.505315,0.508377700,,ruckig,ready,,0.0,0.0,0.0,0,1.0,0,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,gJS_sBM_cAll_d03_mJS5_ch02,0.000000,,,,,,,0.068594756,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.158979412,left_wrist_yaw,0.010582102,left_wrist_yaw,0.158979412,left_wrist_yaw,0.013681511,left_wrist_yaw,-0.008922,0.001929,0.812520,0.008315,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.513303,0.422719,326.525629,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,JS:v0:k0:r0,,,,,,
