frame_index,accepted_beat_delay_seconds,accepted_beat_limiter_joints,accepted_beat_pose_error_rad,accepted_beat_time_seconds,audio_history_seconds,audio_time_seconds,beat_quality,boundary_effect_weight,bridge_acceleration_residual,bridge_attempts,bridge_failure_reason,bridge_generation,bridge_output_modified,bridge_position_residual,bridge_preparation_status,bridge_velocity_residual,collision_override,current_motion_cluster_id,current_motion_id,current_phase,dynamic_range_db,entry_contact_score,entry_feature_ms,entry_frame_index,entry_music_score,entry_phase,entry_pose_score,entry_remaining_seconds,entry_root_score,entry_total_score,entry_velocity_score,event,exit_frame_index,exit_phase,exit_seconds,failed_motion_ids,fallback_reason,limiter_activated_joints,limiter_activation_rate,limiter_enabled,match_confidence,match_rejection_reason,match_state,motion_fully_ready_ms,motion_grounding_ms,motion_load_ms,motion_margin,motion_timing,negative_style_score,output_max_joint_acceleration_rad_s2,output_max_joint_speed_rad_s,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_joint,output_max_wrist_speed_rad_s,pending_motion_cluster_id,pending_motion_id,phase_correction_remaining,post_switch_xy_delta_m,post_switch_yaw_delta_rad,post_switch_z_delta_m,preferred_motion_id,preparation_delay_seconds,query_bpm,query_tags,ranked_motions,ranked_tracks,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_joint,raw_max_wrist_speed_rad_s,ready_motion_ids,ready_pool_size,root_x,root_y,root_yaw,root_z,shortlist,signal_rms,speed_multiplier,switch_anchor_xy_delta_m,switch_anchor_yaw_delta_rad,switch_anchor_z_delta_m,target_max_joint_speed_rad_s,target_speed_multiplier,terminal_safe_idle_active,terminal_time_seconds,top_genre,top_genre_score,top_motion_id,top_motion_score,top_track_id,top_track_score,track_margin,transition_backend,transition_blend,transition_duration_seconds,transition_motion_id,transition_pair_count,transition_phase,transition_preparation_seconds,transition_reason,transition_speed_multiplier,trimmed_seconds,wall_time_seconds
0,,,0.000000000,,0.000000,0.000000,,5.2304137838323963e-11,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.000009057,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,0.776471433,right_wrist_pitch,,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,0.776471433,right_wrist_pitch,,0.000000000,,0,0.000000,0.000000,0.000000,0.836893,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,-0.998591200
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
