audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,exit_frame_index,exit_seconds,exit_phase,trimmed_seconds,transition_pair_count,bridge_attempts,transition_preparation_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.998947600,,hermite,awaiting_retrieval,,,,,0,1.9062693081738922e-11,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.000006470,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,0.776237699,right_wrist_pitch,0.000000000,,0.776237699,right_wrist_pitch,0.000000000,,0.000000,0.000000,0.836895,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.056000,0.052133200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.109611621,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.016266,-0.009169,0.821227,-0.073632,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.120000,0.118506900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.116540922,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.009697,-0.011064,0.823941,-0.069867,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.152000,0.134941900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.118276059,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.009339,-0.011111,0.824558,-0.068127,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.216000,0.202077100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.125273468,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.003250,-0.013578,0.825080,-0.063341,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.280000,0.268888600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.132212995,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.001438,-0.016688,0.825012,-0.058157,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.312000,0.301687800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.135673471,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.001686,-0.018334,0.824318,-0.057724,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.376000,0.368445800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.142625708,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.004121,-0.020640,0.822207,-0.066657,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.408000,0.401719100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.146101043,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,left_wrist_pitch,-0.004867,-0.021475,0.821010,-0.074065,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.472000,0.469168700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.153111757,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.971666498,right_wrist_roll,0.033157254,left_wrist_roll,1.971666498,right_wrist_roll,0.031938051,left_wrist_roll,-0.002682,-0.021810,0.819348,-0.086712,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.177188,0.173390,9.713636,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
