audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,exit_frame_index,exit_seconds,exit_phase,trimmed_seconds,transition_pair_count,bridge_attempts,transition_preparation_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.998830700,,hermite,awaiting_retrieval,,,,,0,1.5126930263876327e-11,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.000005990,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,0.775773803,right_wrist_pitch,0.000000000,,0.775773803,right_wrist_pitch,0.000000000,,0.000000,0.000000,0.834312,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.056000,0.052103700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.109585064,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972214353,right_wrist_roll,0.064009688,left_wrist_yaw,1.972214353,right_wrist_roll,0.065618657,left_wrist_yaw,-0.016285,-0.009165,0.818628,-0.073654,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.713197,0.693914,3.772905,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.120000,0.102118900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.114833019,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972217756,right_wrist_roll,0.112017707,left_wrist_yaw,1.972217756,right_wrist_roll,0.116630440,left_wrist_yaw,-0.011359,-0.010568,0.820919,-0.071000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.897088,0.873493,4.735103,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.152000,0.135186300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.118281923,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972218613,right_wrist_roll,0.094920157,left_wrist_yaw,1.972218613,right_wrist_roll,0.095746642,left_wrist_yaw,-0.009332,-0.011113,0.821975,-0.068131,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.878786,0.856410,4.743159,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.216000,0.202221300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.125278800,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219386,right_wrist_roll,0.185211580,left_wrist_roll,1.972219386,right_wrist_roll,0.182257550,left_wrist_roll,-0.003248,-0.013580,0.822496,-0.063347,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.695801,0.678386,6.623553,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.280000,0.268945100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.132206160,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219735,right_wrist_roll,0.292812105,left_wrist_roll,1.972219735,right_wrist_roll,0.297974817,left_wrist_roll,-0.001441,-0.016684,0.822430,-0.058170,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.694196,0.675011,10.305175,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.312000,0.302119000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.135699339,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219837,right_wrist_roll,0.319034740,left_wrist_roll,1.972219837,right_wrist_roll,0.322773751,left_wrist_roll,-0.001684,-0.018346,0.821727,-0.057745,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.699239,0.681383,12.726979,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.376000,0.369208800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.142667739,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219946,right_wrist_roll,0.289083931,left_wrist_roll,1.972219946,right_wrist_roll,0.282152571,left_wrist_roll,-0.004096,-0.020657,0.819606,-0.066711,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.133518,1.104194,7.128183,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.408000,0.402268300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.146125899,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219971,right_wrist_roll,0.241045707,left_wrist_roll,1.972219971,right_wrist_roll,0.242181538,left_wrist_roll,-0.004847,-0.021481,0.818416,-0.074110,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.254291,1.221286,8.831717,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.472000,0.452218900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.151333972,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972218991,right_wrist_roll,0.146311410,left_wrist_roll,1.972218991,right_wrist_roll,0.158065475,left_wrist_roll,-0.002722,-0.022057,0.816926,-0.083111,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.065330,1.035632,7.069024,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
