audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,exit_frame_index,exit_seconds,exit_phase,trimmed_seconds,transition_pair_count,bridge_attempts,transition_preparation_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.998860400,,hermite,awaiting_retrieval,,,,,0,2.5371972525707966e-11,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.000007117,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,0.775796515,right_wrist_pitch,0.000000000,,0.775796515,right_wrist_pitch,0.000000000,,0.000000,0.000000,0.834311,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.056000,0.052799400,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.109622723,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972214395,right_wrist_roll,0.065465011,left_wrist_yaw,1.972214395,right_wrist_roll,0.064825443,left_wrist_yaw,-0.016257,-0.009171,0.818650,-0.073613,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.702215,0.683525,4.153702,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.120000,0.102067800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.114815197,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972217750,right_wrist_roll,0.111634175,left_wrist_yaw,1.972217750,right_wrist_roll,0.112587794,left_wrist_yaw,-0.011374,-0.010564,0.820915,-0.070989,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.865952,0.843489,4.750860,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.152000,0.135235200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.118287923,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972218614,right_wrist_roll,0.095214847,left_wrist_yaw,1.972218614,right_wrist_roll,0.096148642,left_wrist_yaw,-0.009322,-0.011116,0.821975,-0.068103,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.882773,0.860211,4.730776,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.216000,0.202090800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.125267520,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219385,right_wrist_roll,0.179018095,left_wrist_roll,1.972219385,right_wrist_roll,0.182746862,left_wrist_roll,-0.003252,-0.013575,0.822496,-0.063332,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.696184,0.678141,6.646811,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.280000,0.268747600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.132205023,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219735,right_wrist_roll,0.292813641,left_wrist_roll,1.972219735,right_wrist_roll,0.303326953,left_wrist_roll,-0.001439,-0.016684,0.822430,-0.058147,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.706728,0.687978,10.354710,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.312000,0.302172700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.135667377,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219836,right_wrist_roll,0.313611524,left_wrist_roll,1.972219836,right_wrist_roll,0.315467736,left_wrist_roll,-0.001685,-0.018332,0.821736,-0.057709,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.683472,0.664876,12.095652,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.376000,0.369090100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.142628150,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219946,right_wrist_roll,0.283226020,left_wrist_roll,1.972219946,right_wrist_roll,0.276772244,left_wrist_roll,-0.004119,-0.020642,0.819622,-0.066647,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.109811,1.082079,7.818383,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.408000,0.402547900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.146145683,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219971,right_wrist_roll,0.247398108,left_wrist_roll,1.972219971,right_wrist_roll,0.241514336,left_wrist_roll,-0.004827,-0.021488,0.818409,-0.074115,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.250543,1.214173,9.109948,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.472000,0.452424700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.151351117,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219990,right_wrist_roll,0.148856536,left_wrist_roll,1.972219990,right_wrist_roll,0.162845983,left_wrist_roll,-0.002720,-0.022055,0.816924,-0.083124,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.102472,1.071491,7.599755,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.504000,0.485714500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.154827861,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219995,right_wrist_roll,0.115048973,left_wrist_pitch,1.972219995,right_wrist_roll,0.117869110,left_wrist_pitch,-0.001562,-0.021893,0.816809,-0.088785,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.669441,0.651835,11.726587,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.568000,0.553197100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.161784073,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219998,right_wrist_roll,0.128915254,left_wrist_yaw,1.972219998,right_wrist_roll,0.122548143,left_wrist_yaw,0.001575,-0.021760,0.819246,-0.095248,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.394759,0.384459,10.391748,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.600000,0.585758600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.165270042,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,0.208864772,left_wrist_yaw,1.972219999,right_wrist_roll,0.209798375,left_wrist_yaw,0.003837,-0.022069,0.820874,-0.096032,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.505721,0.492541,6.487867,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.600000,0.601865600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.166996049,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,0.245931161,left_wrist_yaw,1.972219999,right_wrist_roll,0.260477804,left_wrist_yaw,0.003966,-0.021758,0.821878,-0.096014,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.655092,0.637714,8.980878,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.632000,0.618808700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.168721169,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,0.286003396,left_wrist_yaw,1.972219999,right_wrist_roll,0.289870852,left_wrist_yaw,0.004938,-0.021746,0.822509,-0.095720,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.721504,0.702319,5.224590,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.664000,0.652715800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.172202640,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,0.381814930,left_wrist_yaw,1.972219999,right_wrist_roll,0.378584093,left_wrist_yaw,0.005564,-0.021304,0.823675,-0.095768,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.835347,0.813322,5.252120,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.728000,0.718903000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.179155169,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,0.561158769,left_wrist_yaw,1.972219999,right_wrist_roll,0.563898187,left_wrist_yaw,0.006697,-0.020600,0.824884,-0.097148,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,0.836423,0.814070,5.733414,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.760000,0.752750200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.182654275,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,0.681693016,left_wrist_yaw,1.972219999,right_wrist_roll,0.667925731,left_wrist_yaw,0.006061,-0.020483,0.825499,-0.098108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,0.696813,0.678839,7.414342,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.824000,0.818982700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.189612438,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,1.215049007,left_wrist_yaw,1.972219999,right_wrist_roll,1.233316897,left_wrist_yaw,0.002611,-0.021732,0.826024,-0.107236,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,1.233317,1.201458,8.320148,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.856000,0.835650000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.191352261,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,1.359397936,left_wrist_yaw,1.972219999,right_wrist_roll,1.393988364,left_wrist_yaw,-0.000262,-0.021976,0.826245,-0.112511,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,1.393988,1.357904,9.376454,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.856000,0.852307200,beat_limiter_result,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.193092887,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,1.449693119,left_wrist_yaw,1.972219999,right_wrist_roll,1.498047082,left_wrist_yaw,-0.000401,-0.022802,0.825732,-0.115977,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,1.498047,1.453458,13.774069,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.920000,0.902099600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.198291976,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,1.243737165,left_wrist_yaw,1.972219999,right_wrist_roll,1.268299045,left_wrist_yaw,-0.005215,-0.024155,0.824258,-0.132245,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,1.884961,1.836290,21.589169,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.952000,0.935536800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.201769816,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,0.947807593,left_wrist_roll,1.972219999,right_wrist_roll,0.941922461,left_wrist_roll,-0.008627,-0.025135,0.822674,-0.144040,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,2.705543,2.636038,22.986612,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.016000,1.002140700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.208714748,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,1.680714767,left_wrist_yaw,1.972219999,right_wrist_roll,1.712135885,left_wrist_yaw,-0.011743,-0.024603,0.818324,-0.149456,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,3.550967,3.460421,38.873328,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.080000,1.068772600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.215672786,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,3.845074058,left_wrist_yaw,1.972219999,right_wrist_roll,3.951008498,left_wrist_yaw,-0.012276,-0.022098,0.815441,-0.120612,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,5.425682,5.282988,28.064006,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.112000,1.102137800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.219148748,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972220000,right_wrist_roll,4.343583164,left_wrist_yaw,1.972220000,right_wrist_roll,4.492835147,left_wrist_yaw,-0.011950,-0.020650,0.816535,-0.094394,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,7.298309,7.107960,64.748558,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.176000,1.168724000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.226124139,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972220000,right_wrist_roll,4.338570101,left_wrist_roll,1.972220000,right_wrist_roll,4.427934679,left_wrist_roll,-0.010681,-0.018000,0.822094,-0.029864,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,9.286888,9.050083,70.540056,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.208000,1.185816300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.227856240,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972220000,right_wrist_roll,5.301694387,left_wrist_roll,1.972220000,right_wrist_roll,5.312169987,left_wrist_roll,-0.009723,-0.017527,0.823556,-0.020418,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,8.502934,8.281141,71.431021,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.272000,1.252239800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.234829190,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972220000,right_wrist_roll,4.896754055,left_wrist_roll,1.972220000,right_wrist_roll,4.972464804,left_wrist_roll,-0.005768,-0.014655,0.827116,-0.010592,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,8.879608,8.654144,141.553893,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.304000,1.285996900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.238292630,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972220000,right_wrist_roll,2.793728164,left_wrist_roll,1.972220000,right_wrist_roll,2.781090887,left_wrist_roll,-0.002318,-0.013434,0.827450,-0.013445,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,7.632101,7.433200,73.637644,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.368000,1.352181100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.245260341,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,1.142607910,left_wrist_yaw,1.972219999,right_wrist_roll,1.165079973,left_wrist_yaw,0.001066,-0.010214,0.827763,-0.019199,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,3.254593,3.170619,66.695935,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
1.400000,1.386670400,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.248733329,,0.000000,,,,,,,,,,0.000000,authored,1.000000,1.000000,,0.000000000,1.972219999,right_wrist_roll,1.162187070,left_wrist_yaw,1.972219999,right_wrist_roll,1.111003155,left_wrist_yaw,0.002755,-0.008779,0.827476,-0.018561,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,1.877375,1.810499,39.253397,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
