audio_time_seconds,wall_time_seconds,event,current_motion_id,pending_motion_id,preferred_motion_id,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.997917200,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.000000000,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.071736909,right_wrist_yaw,0.000000000,,0.071736909,right_wrist_yaw,0.000000000,,0.000000,0.000000,0.829246,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.024000,0.035993700,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.145568732,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.302746072,left_wrist_yaw,1.947961565,left_wrist_roll,0.302746072,left_wrist_yaw,2.066636076,left_wrist_roll,0.025761,0.089962,0.810592,-1.079232,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.841019,6.477198,84.269284,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.056000,0.060470700,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.149127296,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.253516394,left_wrist_yaw,2.281760922,left_wrist_yaw,0.253516394,left_wrist_yaw,2.531239929,left_wrist_yaw,0.017611,0.084959,0.806056,-1.041164,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,7.657610,7.270011,436.211435,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.088000,0.093495600,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.153785915,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.161591705,left_wrist_yaw,2.856793689,left_wrist_yaw,0.161591705,left_wrist_yaw,2.938290104,left_wrist_yaw,0.010915,0.078801,0.805399,-1.014638,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.796542,6.481667,166.043225,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.120000,0.143463300,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.160805901,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.162705808,right_wrist_yaw,0.871709580,right_wrist_yaw,0.162705808,right_wrist_yaw,1.055696338,right_wrist_yaw,-0.001684,0.072332,0.818824,-0.973864,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.964874,2.798455,284.318112,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.152000,0.168362100,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.164328803,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.172084429,right_wrist_yaw,0.052137739,left_wrist_roll,0.172084429,right_wrist_yaw,0.057489303,left_wrist_roll,-0.011549,0.070393,0.831386,-0.946071,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.104251,0.099052,59.741391,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.184000,0.202041300,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.169060183,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.171721523,right_wrist_yaw,0.064218682,right_wrist_roll,0.171721523,right_wrist_yaw,0.065331407,right_wrist_roll,-0.025204,0.065769,0.844128,-0.894055,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.072176,0.069297,7.428882,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.216000,0.235502800,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.173750380,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.171452481,right_wrist_yaw,0.050010437,left_wrist_roll,0.171452481,right_wrist_yaw,0.051803459,left_wrist_roll,-0.038294,0.060568,0.851065,-0.829888,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.104353,0.099754,9.892920,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.248000,0.268576100,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.178351117,,0.000000,,,,,,,,,,0.500000,beat-sync,0.966959,1.000000,,-0.117338826,0.171296762,right_wrist_yaw,0.006017413,left_wrist_roll,0.171296762,right_wrist_yaw,0.007646985,left_wrist_roll,-0.048596,0.056819,0.851104,-0.763367,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.216000,0.000000000,,,0.036318,0.034095,4.527459,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.280000,0.293568000,,gHO_sBM_cAll_d20_mHO5_ch01,,,,,0.181641586,,0.000000,,,,,,,,,,0.500000,beat-sync,0.916910,1.000000,,-0.117104746,0.222119482,right_wrist_yaw,1.753443044,right_wrist_roll,0.222119482,right_wrist_yaw,1.945883098,right_wrist_roll,-0.055594,0.054832,0.846179,-0.730402,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.216000,0.000000000,,,9.217933,8.735289,421.391016,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
