audio_time_seconds,wall_time_seconds,event,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.997042600,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000000000,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.071736909,right_wrist_yaw,0.000000000,,0.071736909,right_wrist_yaw,0.000000000,,0.000000,0.000000,0.829246,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.024000,0.035789300,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.145597310,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.302465079,left_wrist_yaw,2.058922199,left_wrist_roll,0.302465079,left_wrist_yaw,2.054615724,left_wrist_roll,0.025681,0.089927,0.810513,-1.078971,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.806029,6.484032,90.210170,,0.000834260,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.056000,0.060213000,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.149099817,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.254012100,left_wrist_yaw,2.395104120,left_wrist_yaw,0.254012100,left_wrist_yaw,2.442956757,left_wrist_yaw,0.017653,0.085003,0.806067,-1.041419,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,7.473244,7.119786,359.016992,,0.000814553,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.088000,0.093728700,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.153817676,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.160974415,left_wrist_yaw,2.853861534,left_wrist_yaw,0.160974415,left_wrist_yaw,2.968431101,left_wrist_yaw,0.010864,0.078768,0.805415,-1.014541,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,6.878032,6.534029,176.361385,,0.000789681,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.120000,0.126799000,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.158491606,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.145277584,right_wrist_yaw,1.876045129,left_wrist_yaw,0.145277584,right_wrist_yaw,1.919919121,left_wrist_yaw,0.004097,0.073952,0.812630,-0.989158,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.621665,5.355560,344.904804,,0.000766284,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.152000,0.176567500,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.165500056,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.171881559,right_wrist_yaw,0.091637356,left_wrist_roll,0.171881559,right_wrist_yaw,0.102644546,left_wrist_roll,-0.014857,0.069284,0.834878,-0.934706,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.155332,0.147472,17.077371,,0.000733676,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.184000,0.201729100,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.169048704,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.171634264,right_wrist_yaw,0.044313644,right_wrist_roll,0.171634264,right_wrist_yaw,0.046087458,right_wrist_roll,-0.025170,0.065778,0.844098,-0.894195,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.057484,0.055268,5.432293,,0.000718391,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.216000,0.234842400,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.173718493,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.171383566,right_wrist_yaw,0.047350839,right_wrist_roll,0.171383566,right_wrist_yaw,0.051597971,right_wrist_roll,-0.038213,0.060601,0.851030,-0.830329,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.106831,0.102370,10.698929,,0.000698975,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.248000,0.268547900,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.178413357,,0.000000,,,,,,,,,,0.500000,beat-sync,0.983859,1.000000,,-0.118591221,0.171168279,right_wrist_yaw,0.044262190,left_wrist_roll,0.171168279,right_wrist_yaw,0.047575337,left_wrist_roll,-0.048718,0.056774,0.851056,-0.762650,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,,,0.080940,0.076825,7.046225,,0.000680581,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.280000,0.302007200,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.182874543,,0.000000,,,,,,,,,,0.500000,beat-sync,0.916596,1.000000,,-0.118315604,0.218902062,right_wrist_yaw,0.935721027,left_wrist_yaw,0.218902062,right_wrist_yaw,0.960789959,left_wrist_yaw,-0.058069,0.053561,0.842882,-0.717519,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,,,9.091212,8.674987,400.277413,,0.000663130,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.312000,0.326815100,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.185965550,,0.000000,,,,,,,,,,0.500000,beat-sync,0.866915,1.000000,,-0.117907907,0.206614450,right_wrist_yaw,0.858967982,left_wrist_yaw,0.206614450,right_wrist_yaw,0.887998427,left_wrist_yaw,-0.063776,0.050552,0.833833,-0.686623,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,,,8.457785,8.060695,71.932722,,0.000650618,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.312000,0.335450700,beat_limiter_result,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.186982866,,0.000000,,,,,,,,,,0.500000,beat-sync,0.849918,1.000000,,-0.117728265,0.202135466,right_wrist_yaw,0.683411661,left_wrist_yaw,0.202135466,right_wrist_yaw,0.699428575,left_wrist_yaw,-0.066476,0.050320,0.830999,-0.676083,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,7.095177,6.689959,516.919746,,0.000646552,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.344000,0.360008200,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.189815208,,0.000000,,,,,,,,,,0.500000,beat-sync,0.800696,1.000000,,-0.117094254,0.190689780,right_wrist_yaw,0.413240253,right_wrist_yaw,0.190689780,right_wrist_yaw,0.465492744,right_wrist_yaw,-0.074221,0.049617,0.822907,-0.643550,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,2.037015,1.933144,223.436682,,0.000634652,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.376000,0.393348500,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.193387963,,0.000000,,,,,,,,,,0.500000,beat-sync,0.733845,1.000000,,-0.115959235,0.179740767,right_wrist_yaw,0.435430465,right_wrist_roll,0.179740767,right_wrist_yaw,0.445154418,right_wrist_roll,-0.081788,0.049232,0.814218,-0.603179,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,2.010379,1.919978,50.560004,,0.000619451,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
