audio_time_seconds,wall_time_seconds,event,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000050,0.001133500,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000000000,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.071736909,right_wrist_yaw,0.000000000,,0.071736909,right_wrist_yaw,0.000000000,,0.000000,0.000000,0.829246,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.001218,0.001893500,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000164423,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.074416623,right_wrist_yaw,0.400475264,right_wrist_roll,0.072039669,right_wrist_yaw,0.695999997,left_wrist_pitch,-0.000174,-0.000231,0.828388,-0.002861,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,25.233697,0.360214,428.571272,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;left_wrist_pitch;left_wrist_roll;left_wrist_yaw;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_shoulder_yaw;right_wrist_roll;right_wrist_yaw;waist_pitch;waist_roll;waist_yaw,0.862068966,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.002561,0.003162900,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000353620,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.077500112,right_wrist_yaw,0.208333433,right_wrist_roll,0.072434323,right_wrist_yaw,0.688035279,left_wrist_pitch,-0.000373,-0.000497,0.827401,-0.006171,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,116.863652,0.225758,244.188491,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;left_wrist_pitch;left_wrist_roll;left_wrist_yaw;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_shoulder_yaw;right_wrist_roll;right_wrist_yaw;waist_pitch;waist_roll;waist_yaw,0.793103448,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.003224,0.003816300,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000446958,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.079021312,right_wrist_yaw,0.227338672,right_wrist_roll,0.072604688,right_wrist_yaw,0.647037998,left_wrist_pitch,-0.000472,-0.000628,0.826913,-0.007811,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,110.676034,0.259466,51.336570,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;left_wrist_pitch;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_shoulder_yaw;right_wrist_roll;right_wrist_yaw;waist_pitch;waist_roll;waist_yaw,0.793103448,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.004462,0.005066900,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000621366,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.081863776,right_wrist_yaw,0.203085244,right_wrist_roll,0.072885781,right_wrist_yaw,0.581927416,left_wrist_pitch,-0.000656,-0.000872,0.826003,-0.010887,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,193.285375,0.202557,73.990700,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_wrist_roll;right_wrist_yaw;waist_roll,0.718390805,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.005127,0.005718100,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000714986,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.083389565,right_wrist_yaw,0.228024423,right_wrist_roll,0.073055303,right_wrist_yaw,0.631836811,left_wrist_pitch,-0.000755,-0.001004,0.825515,-0.012545,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,173.622048,0.258221,84.788701,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_wrist_roll;right_wrist_yaw;waist_pitch;waist_roll;waist_yaw,0.719211823,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.006370,0.006945700,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.000890169,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.086244658,right_wrist_yaw,0.205349475,right_wrist_roll,0.073324499,right_wrist_yaw,0.558553282,left_wrist_pitch,-0.000940,-0.001250,0.824600,-0.015660,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,297.931847,0.187405,103.412789,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;left_wrist_pitch;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_shoulder_yaw;right_wrist_roll;right_wrist_yaw;waist_pitch;waist_roll;waist_yaw,0.704980843,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.007677,0.008300400,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.001074254,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.089244813,right_wrist_yaw,0.232450068,right_wrist_roll,0.073645224,right_wrist_yaw,0.633895877,right_wrist_yaw,-0.001135,-0.001508,0.823640,-0.018950,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,273.960701,0.250964,39.851698,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_wrist_roll;right_wrist_yaw;waist_roll;waist_yaw,0.711598746,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.008364,0.008942200,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.001170915,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.090820193,right_wrist_yaw,0.235434473,right_wrist_roll,0.073820807,right_wrist_yaw,0.670164207,right_wrist_yaw,-0.001237,-0.001644,0.823135,-0.020686,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,291.071387,0.272306,33.098592,left_ankle_pitch;left_hip_pitch;left_knee;left_shoulder_pitch;right_elbow;right_hip_pitch;right_knee;right_shoulder_pitch,0.675287356,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
0.009141,0.009750300,,gHO_sBM_cAll_d20_mHO5_ch01,,,0.000000,,,,,,,0.001280423,,0.000000,,,,,,,,,,0.500000,authored,1.000000,1.000000,,0.000000000,0.092604905,right_wrist_yaw,0.266719759,right_wrist_roll,0.074217092,right_wrist_yaw,0.943986174,left_wrist_pitch,-0.001352,-0.001798,0.822564,-0.022657,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,198.655623,0.492280,273.259401,left_ankle_pitch;left_elbow;left_hip_pitch;left_hip_roll;left_hip_yaw;left_knee;left_shoulder_pitch;right_ankle_pitch;right_ankle_roll;right_elbow;right_hip_pitch;right_hip_roll;right_hip_yaw;right_knee;right_shoulder_pitch;right_shoulder_roll;right_shoulder_yaw;right_wrist_roll;right_wrist_yaw;waist_pitch;waist_roll;waist_yaw,0.681697613,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,HO:v0:k0:r0,,,,,,
