audio_time_seconds,wall_time_seconds,event,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000022,0.001786200,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.000000000,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330891073,right_wrist_yaw,0.000000000,,0.330891073,right_wrist_yaw,0.000000000,,0.000000,0.000000,0.903397,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.050587,0.051365600,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.004213758,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000000447,right_wrist_pitch,0.330908149,right_wrist_yaw,0.000012226,right_wrist_pitch,-0.003212,0.004761,0.915530,-0.065534,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000049,0.000019,0.050580,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.100368,0.101143600,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.008362158,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000003576,right_wrist_yaw,0.330908149,right_wrist_yaw,0.000114889,right_wrist_yaw,-0.004881,0.010962,0.934660,-0.098286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000115,0.000038,0.095978,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.150151,0.151012700,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.012510800,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000003576,right_wrist_yaw,0.330908149,right_wrist_yaw,0.000099441,right_wrist_yaw,-0.008547,0.018658,0.951304,-0.137753,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000199,0.000069,0.182657,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.200381,0.200906200,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.016696583,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000000894,left_wrist_roll,0.330908149,right_wrist_yaw,0.000033411,left_wrist_roll,-0.010815,0.025929,0.962519,-0.176690,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000067,0.000029,0.107174,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.250452,0.251009000,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.020869192,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000003576,left_wrist_yaw,0.330908149,right_wrist_yaw,0.000115692,left_wrist_yaw,-0.011835,0.035131,0.971843,-0.208090,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000116,0.000051,0.088837,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.300025,0.300571100,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.025000275,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000003576,right_wrist_yaw,0.330908149,right_wrist_yaw,0.000139198,right_wrist_yaw,-0.014087,0.037402,0.983047,-0.256254,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000139,0.000055,0.195842,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.350363,0.350947700,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.029195100,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000001788,left_wrist_roll,0.330908149,right_wrist_yaw,0.000054088,left_wrist_roll,-0.019792,0.030774,0.990845,-0.310493,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000108,0.000050,0.165811,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.400523,0.401075900,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.033375125,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000001788,right_wrist_roll,0.330908149,right_wrist_yaw,0.000066821,right_wrist_roll,-0.020912,0.008154,0.966537,-0.298870,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000267,0.000110,0.397712,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
0.450071,0.450596800,,gKR_sBM_cAll_d28_mKR0_ch01,,,0.000000,,,,,,,0.037504092,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.330908149,right_wrist_yaw,0.000003576,left_wrist_yaw,0.330908149,right_wrist_yaw,0.000145094,left_wrist_yaw,-0.026743,-0.012042,0.938169,-0.227502,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000290,0.000114,0.217661,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,KR:v0:k1:r0,,,,,,
