audio_time_seconds,wall_time_seconds,event,current_motion_id,pending_motion_id,preferred_motion_id,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.998835600,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.000000000,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.415788710,right_wrist_roll,0.000000000,,0.415788710,right_wrist_roll,0.000000000,,0.000000,0.000000,0.882814,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.056000,0.063367600,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.022073710,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144629076,right_wrist_yaw,0.001774013,right_wrist_yaw,0.144328016,right_wrist_yaw,0.000007237,right_wrist_yaw,-0.034232,0.117608,0.893164,-0.024368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.572975,0.000041,20.107222,,0.001900624,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.120000,0.129703900,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.023456598,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144592886,right_wrist_yaw,0.006080867,left_wrist_roll,0.144328016,right_wrist_yaw,0.000000000,right_wrist_roll,-0.034232,0.117608,0.893164,-0.024368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.498200,0.000000,0.000000,,0.001787995,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.152000,0.163507000,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.024164024,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144473401,right_wrist_yaw,0.020331298,right_wrist_roll,0.144328016,right_wrist_yaw,0.000000000,right_wrist_roll,-0.034232,0.117608,0.893164,-0.024368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.375717,0.000000,0.000000,,0.001736542,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.216000,0.221111600,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.025365475,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144243555,right_wrist_yaw,0.015256657,left_wrist_roll,0.144328016,right_wrist_yaw,0.000000000,right_wrist_roll,-0.034232,0.117608,0.893164,-0.024368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.748867,0.000000,0.000000,,0.001653283,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.280000,0.285431400,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.026732890,,0.000000,,,,,,,,,,0.500000,beat-sync,0.933574,1.000000,,-0.019438667,0.230493899,right_wrist_yaw,3.183060407,left_wrist_yaw,0.230493899,right_wrist_yaw,3.213654396,left_wrist_yaw,0.010417,0.100702,0.864578,-0.135903,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.010908751,,left_wrist_yaw,9.237476,8.405019,70.708613,,0.005373936,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.312000,0.318510400,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.027351055,,0.000000,,,,,,,,,,0.500000,beat-sync,0.867093,1.000000,,-0.019363834,0.203625594,right_wrist_yaw,0.879418999,left_wrist_pitch,0.203625594,right_wrist_yaw,0.981792463,left_wrist_pitch,0.020509,0.088028,0.864210,-0.170134,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.010908751,,left_wrist_yaw,4.563058,4.153262,489.291329,,0.005237887,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.312000,0.326731700,beat_limiter_result,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.027502498,,0.000000,,,,,,,,,,0.500000,beat-sync,0.850000,1.000000,,-0.019337109,0.196961942,right_wrist_yaw,0.955200344,left_wrist_pitch,0.196961942,right_wrist_yaw,1.067668549,left_wrist_pitch,0.023076,0.085057,0.864058,-0.174829,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.010908751,0.000000000,left_wrist_yaw,4.864924,4.408172,121.438915,,0.005204945,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.376000,0.384892900,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.028449264,,0.000000,,,,,,,,,,0.500000,beat-sync,0.734117,1.000000,,-0.019075918,0.174488491,right_wrist_yaw,0.358152535,left_wrist_yaw,0.174488491,right_wrist_yaw,0.393005867,left_wrist_yaw,0.038849,0.068554,0.858923,-0.192757,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.010908751,0.000000000,left_wrist_yaw,6.545449,5.992105,39.710893,,0.004985459,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.408000,0.410516500,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.028819356,,0.000000,,,,,,,,,,0.500000,beat-sync,0.683420,1.000000,,-0.018917547,0.168824797,right_wrist_yaw,0.264354193,left_wrist_yaw,0.168824797,right_wrist_yaw,0.269408293,left_wrist_yaw,0.044289,0.062603,0.858138,-0.202703,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.010908751,0.000000000,left_wrist_yaw,5.617044,5.124921,44.988814,,0.004896960,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
