audio_time_seconds,wall_time_seconds,event,current_motion_id,pending_motion_id,preferred_motion_id,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.998255000,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.000000000,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.415788710,right_wrist_roll,0.000000000,,0.415788710,right_wrist_roll,0.000000000,,0.000000,0.000000,0.882814,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.056000,0.070070600,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.022237753,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144628362,right_wrist_yaw,0.000135498,left_wrist_roll,0.144324997,right_wrist_yaw,0.000000000,right_wrist_yaw,-0.034244,0.117609,0.893162,-0.024348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.381345,0.000000,0.056689,,0.002424569,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.120000,0.137015400,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.023627644,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144591862,right_wrist_yaw,0.006147481,left_wrist_roll,0.144324997,right_wrist_yaw,0.000000000,right_wrist_yaw,-0.034244,0.117609,0.893162,-0.024348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.076138,0.000000,0.000000,,0.002281947,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.152000,0.161773400,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.024148847,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144592201,right_wrist_yaw,0.000161106,left_wrist_roll,0.144324997,right_wrist_yaw,0.000000000,right_wrist_yaw,-0.034244,0.117609,0.893162,-0.024348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.306141,0.000000,0.000000,,0.002232697,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.216000,0.228447700,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.025538727,,0.000000,,,,,,,,,,0.500000,beat-sync,1.000000,1.000000,,0.000000000,0.144336080,right_wrist_yaw,0.024165566,left_wrist_roll,0.144324997,right_wrist_yaw,0.000000000,right_wrist_yaw,-0.034244,0.117609,0.893162,-0.024348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.751854,0.000000,0.000000,,0.002111189,1,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.280000,0.285127700,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.026737471,,0.000000,,,,,,,,,,0.500000,beat-sync,0.950000,1.000000,,-0.019614471,0.230463979,right_wrist_yaw,3.123085114,left_wrist_yaw,0.230463979,right_wrist_yaw,3.440415256,left_wrist_yaw,0.010494,0.100626,0.864576,-0.136234,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,,,9.881725,8.930124,158.516764,,0.004702194,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.312000,0.318368000,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.027368698,,0.000000,,,,,,,,,,0.500000,beat-sync,0.883333,1.000000,,-0.019550770,0.202816211,right_wrist_yaw,0.932273269,left_wrist_pitch,0.202816211,right_wrist_yaw,1.016757699,left_wrist_pitch,0.020791,0.087670,0.864208,-0.170849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,,,4.718214,4.311234,414.170223,,0.004583151,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.312000,0.335196400,beat_limiter_result,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.027667037,,0.000000,,,,,,,,,,0.500000,beat-sync,0.849989,1.000000,,-0.019501526,0.192305102,right_wrist_yaw,1.017680168,left_wrist_pitch,0.192305102,right_wrist_yaw,1.107353668,left_wrist_pitch,0.026259,0.082107,0.863535,-0.176017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,5.320206,4.779728,196.088249,,0.004525862,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.376000,0.393291500,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.028619547,,0.000000,,,,,,,,,,0.500000,beat-sync,0.733336,1.000000,,-0.019238060,0.171975970,right_wrist_yaw,0.286987860,left_wrist_yaw,0.171975970,right_wrist_yaw,0.314555505,left_wrist_yaw,0.041358,0.065820,0.858431,-0.197323,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,6.373522,5.828609,174.652672,,0.004336155,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
0.408000,0.426827600,,gWA_sFM_cAll_d25_mWA0_ch01,,,,,0.029100272,,0.000000,,,,,,,,,,0.500000,beat-sync,0.666660,1.000000,,-0.019023758,0.163223988,right_wrist_yaw,0.290407169,right_wrist_yaw,0.163223988,right_wrist_yaw,0.313102058,right_wrist_yaw,0.047262,0.058134,0.857909,-0.217753,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.248000,0.000000000,0.000000000,,6.679533,6.067187,37.855984,,0.004234725,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v1:k1:r0,,,,,,
