audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,exit_frame_index,exit_seconds,exit_phase,trimmed_seconds,transition_pair_count,bridge_attempts,transition_preparation_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.998904200,,hermite,awaiting_retrieval,,,,,0,1.395765847504685e-10,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.000012563,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.776788106,right_wrist_pitch,0.000000000,,0.776788106,right_wrist_pitch,0.000000000,,0.000000,0.000000,0.836891,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.056000,0.051876100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.109588226,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.016270,-0.009171,0.821213,-0.073519,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.120000,0.101626200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.114803656,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.011374,-0.010565,0.823496,-0.070886,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.152000,0.135404300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.118291002,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.009307,-0.011122,0.824559,-0.067990,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.216000,0.201832100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.125255812,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.003248,-0.013574,0.825080,-0.063230,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.280000,0.268952300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.132236786,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.001421,-0.016705,0.825007,-0.058025,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.312000,0.301965700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.135693005,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.001671,-0.018348,0.824313,-0.057611,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.376000,0.369154000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.142681503,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.004074,-0.020667,0.822184,-0.066594,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.408000,0.402591100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.146122737,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,1.972219944,right_wrist_roll,0.000000000,right_wrist_pitch,-0.004836,-0.021486,0.821001,-0.073974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.472000,0.452531200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.151370369,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.971661900,right_wrist_roll,0.033456627,left_wrist_roll,1.971661900,right_wrist_roll,0.033130360,left_wrist_roll,-0.002709,-0.022057,0.819506,-0.083054,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.196052,0.191789,11.097396,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.504000,0.485796900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.154832963,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.971218457,right_wrist_roll,0.026863795,left_wrist_roll,1.971218457,right_wrist_roll,0.028194935,left_wrist_roll,-0.001550,-0.021897,0.819394,-0.088683,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.167217,0.162887,9.851101,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.568000,0.553993600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.161811997,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.970589408,right_wrist_roll,0.017354395,left_wrist_roll,1.970589408,right_wrist_roll,0.016592469,left_wrist_roll,0.001607,-0.021768,0.821842,-0.095146,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.112508,0.108090,5.710961,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.600000,0.586247000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.165272671,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.969934047,right_wrist_roll,0.040396478,right_wrist_roll,1.969934047,right_wrist_roll,0.041251287,right_wrist_roll,0.003848,-0.022072,0.823459,-0.095922,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.120167,0.116687,6.634949,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.600000,0.601957700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.166998303,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.969961773,right_wrist_roll,0.001663539,right_wrist_roll,1.969961773,right_wrist_roll,0.001801619,right_wrist_roll,0.003978,-0.021762,0.824463,-0.095905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.005791,0.005649,7.038374,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.632000,0.618955000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.168724101,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.969430700,right_wrist_roll,0.031864376,right_wrist_roll,1.969430700,right_wrist_roll,0.031945966,right_wrist_roll,0.004951,-0.021750,0.825094,-0.095611,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.102475,0.100133,5.553587,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.664000,0.652201400,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.172225972,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,1.969048751,right_wrist_roll,0.025223614,right_wrist_roll,1.969048751,right_wrist_roll,0.025892043,right_wrist_roll,0.005585,-0.021307,0.826262,-0.095659,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.087785,0.085868,4.817889,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.728000,0.719209700,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.179097851,,0.000000,,,,,,,,,,0.000000,beat-sync,0.967714,1.300000,,-0.024599990,1.968576684,right_wrist_roll,0.018636357,right_wrist_roll,1.968576684,right_wrist_roll,0.019609580,right_wrist_roll,0.006710,-0.020610,0.827458,-0.097025,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,0.046857,0.045586,3.158965,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.760000,0.753111500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.182318279,,0.000000,,,,,,,,,,0.000000,beat-sync,0.900420,1.300000,,-0.024130248,1.968510233,right_wrist_roll,0.007696088,left_wrist_roll,1.968510233,right_wrist_roll,0.007982384,left_wrist_roll,0.006079,-0.020467,0.828043,-0.097904,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,0.023431,0.022840,1.675495,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.824000,0.802369200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.186648736,,0.000000,,,,,,,,,,0.000000,beat-sync,0.800908,1.300000,,-0.022783824,1.968039187,right_wrist_roll,0.020882159,right_wrist_roll,1.968039187,right_wrist_roll,0.021007152,right_wrist_roll,0.004321,-0.020924,0.828452,-0.101964,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,0.022449,0.021926,1.445461,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.856000,0.836441100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.189260768,,0.000000,,,,,,,,,,0.000000,beat-sync,0.734236,1.300000,,-0.021468934,1.967839485,right_wrist_roll,0.016122531,left_wrist_roll,1.967839485,right_wrist_roll,0.015708639,left_wrist_roll,0.002817,-0.021619,0.828592,-0.106424,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,,,0.044937,0.043382,1.093755,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
0.856000,0.852295200,beat_limiter_result,hermite,awaiting_retrieval,,,,,0,1.0,0,gLO_sBM_cAll_d13_mLO2_ch02,,,0.000000,,,,,,,,,,,,,,0.190505095,,0.000000,,,,,,,,,,0.000000,beat-sync,0.700174,1.300000,,-0.020674044,1.967910899,right_wrist_roll,0.004284857,left_wrist_roll,1.967910899,right_wrist_roll,0.004600310,left_wrist_roll,0.001107,-0.021853,0.828732,-0.109864,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.728000,0.000000000,0.000000000,,0.048926,0.047580,1.230282,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,LO:v0:k1:r1,,,,,,
