audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.994005400,,hermite,awaiting_retrieval,,,,,0,2.1562715845391864e-11,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.000005391,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.091577398,left_wrist_yaw,0.000000000,,0.091577398,left_wrist_yaw,0.000000000,,0.000000,0.000000,0.913197,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.056000,0.075417500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.089274509,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.193018279,left_wrist_yaw,1.019470599,left_wrist_yaw,0.193018279,left_wrist_yaw,1.177555003,left_wrist_yaw,0.085824,0.050606,0.857476,-0.318999,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.412114,3.690154,88.387979,,0.000847937,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.120000,0.142111600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.094807010,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.143866950,left_wrist_yaw,0.311254290,right_wrist_yaw,0.143866950,left_wrist_yaw,0.361040304,right_wrist_yaw,0.087393,0.040524,0.874370,-0.402816,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.887833,1.486700,85.426938,,0.000795756,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.152000,0.175395300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.097603928,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.155240435,right_wrist_yaw,0.558863884,right_wrist_yaw,0.155240435,right_wrist_yaw,0.671675878,right_wrist_yaw,0.087104,0.035002,0.883003,-0.402639,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.594568,2.056371,34.466914,,0.000772002,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.216000,0.234839400,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.102586373,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.182789164,right_wrist_yaw,0.296741737,left_wrist_yaw,0.182789164,right_wrist_yaw,0.352202335,left_wrist_yaw,0.088839,0.030451,0.902050,-0.358368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.728182,2.316127,55.988656,,0.000738916,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.280000,0.301613500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.108157752,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.179406735,left_wrist_yaw,0.438965503,right_wrist_yaw,0.179406735,left_wrist_yaw,0.786169323,right_wrist_yaw,0.093347,0.028893,0.926364,-0.284410,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.228217,3.294301,126.338997,,0.000698975,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.312000,0.327249800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.110285708,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.193666264,left_wrist_yaw,0.956132079,right_wrist_pitch,0.193666264,left_wrist_yaw,1.173715449,right_wrist_pitch,0.096710,0.028465,0.932685,-0.244850,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.546014,3.608036,159.058120,,0.000685088,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.376000,0.396820500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.116020882,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.192406838,left_wrist_yaw,0.487910676,right_wrist_yaw,0.192406838,left_wrist_yaw,0.570944239,right_wrist_yaw,0.091408,0.033220,0.935430,-0.134732,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.955804,1.644147,82.670818,,0.000654736,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.408000,0.419813400,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.118040120,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.195001638,left_wrist_yaw,0.636716113,right_wrist_yaw,0.195001638,left_wrist_yaw,0.773047715,right_wrist_yaw,0.089012,0.035254,0.931019,-0.119355,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.864722,1.565786,54.627405,,0.000642536,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.472000,0.487006100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.123570320,,0.000000,,,,,,,,,,0.000000,beat-sync,0.966917,1.000000,,-0.076356659,0.200714154,left_wrist_yaw,0.246404380,right_wrist_yaw,0.200714154,left_wrist_yaw,0.300974706,right_wrist_yaw,0.081734,0.040683,0.900637,-0.146505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.440000,0.000000000,,,6.309676,5.107330,84.094883,,0.000612120,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
