audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.996252000,,hermite,awaiting_retrieval,,,,,0,1.2455660710823698e-11,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.000004490,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.091577420,left_wrist_yaw,0.000000000,,0.091577420,left_wrist_yaw,0.000000000,,0.000000,0.000000,0.913205,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.056000,0.071630000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.089057466,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.195604221,left_wrist_yaw,1.017294543,left_wrist_yaw,0.195604221,left_wrist_yaw,1.157900746,left_wrist_yaw,0.085709,0.050883,0.856815,-0.313461,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.581720,3.569410,66.088415,,0.003258213,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.120000,0.137690000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.094610996,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.143937637,left_wrist_yaw,0.251866292,right_wrist_yaw,0.143937637,left_wrist_yaw,0.356656148,right_wrist_yaw,0.087365,0.040963,0.873792,-0.402463,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.953971,1.595787,112.679855,,0.003065134,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.152000,0.163690300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.096787627,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.150088118,right_wrist_yaw,0.568380439,right_wrist_yaw,0.150088118,right_wrist_yaw,0.576034789,right_wrist_yaw,0.087314,0.036427,0.880383,-0.404121,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.101124,1.729780,52.010361,,0.002998501,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.216000,0.228832900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.102269883,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.182291089,right_wrist_yaw,0.281853125,left_wrist_yaw,0.182291089,right_wrist_yaw,0.352594956,left_wrist_yaw,0.088535,0.030670,0.900676,-0.361678,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.932040,2.465008,78.124901,,0.002834199,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.280000,0.290211500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.107293385,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.177868781,left_wrist_yaw,0.644426567,right_wrist_yaw,0.177868781,left_wrist_yaw,0.558554412,right_wrist_yaw,0.093521,0.028894,0.923108,-0.298928,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,3.044625,2.663490,40.111924,,0.002704530,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.312000,0.320493300,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.109919366,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.192117025,left_wrist_yaw,1.261255398,right_wrist_pitch,0.192117025,left_wrist_yaw,1.725232536,right_wrist_pitch,0.096863,0.028321,0.931975,-0.251682,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,5.576766,4.654844,123.813124,,0.002635625,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.376000,0.390843200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.115501444,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.192156394,left_wrist_yaw,0.264962043,right_wrist_yaw,0.192156394,left_wrist_yaw,0.354064499,right_wrist_yaw,0.092134,0.032714,0.936054,-0.140294,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.425176,1.440452,59.159139,,0.002507837,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.408000,0.413894100,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.117668245,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.194751903,left_wrist_yaw,0.747548942,right_wrist_yaw,0.194751903,left_wrist_yaw,0.769168736,right_wrist_yaw,0.089398,0.034871,0.932075,-0.121403,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.834738,1.519694,62.233886,,0.002463054,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.472000,0.481628900,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.123277551,,0.000000,,,,,,,,,,0.000000,beat-sync,0.979481,1.000000,,-0.076588095,0.200481022,left_wrist_yaw,0.114913563,right_wrist_roll,0.200481022,left_wrist_yaw,0.098477307,right_wrist_roll,0.081605,0.040510,0.902703,-0.143803,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.472000,0.000000000,,,5.448660,4.845745,108.142603,,0.003134796,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.504000,0.531903800,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.127022923,,0.000000,,,,,,,,,,0.000000,beat-sync,0.882176,1.000000,,-0.076273881,0.179729938,left_wrist_yaw,1.283385578,right_wrist_yaw,0.179729938,left_wrist_yaw,2.035879046,right_wrist_yaw,0.084244,0.040945,0.881403,-0.173566,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.472000,0.000000000,,,5.411281,3.988011,148.301729,,0.003031451,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.504000,0.545765600,beat_limiter_result,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.128180745,,0.000000,,,,,,,,,,0.000000,beat-sync,0.849831,1.000000,,-0.076082396,0.166984014,left_wrist_yaw,1.257144512,right_wrist_yaw,0.166984014,left_wrist_yaw,1.837028173,right_wrist_yaw,0.083636,0.041249,0.876468,-0.170988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.472000,0.000000000,0.000000000,,6.974889,5.651662,291.748266,,0.002998501,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
