audio_time_seconds,wall_time_seconds,event,transition_backend,bridge_preparation_status,bridge_failure_reason,bridge_position_residual,bridge_velocity_residual,bridge_acceleration_residual,bridge_output_modified,boundary_effect_weight,bridge_generation,current_motion_id,pending_motion_id,preferred_motion_id,audio_history_seconds,shortlist,terminal_time_seconds,entry_frame_index,preparation_delay_seconds,transition_motion_id,fallback_reason,current_phase,transition_phase,transition_blend,transition_reason,entry_phase,entry_total_score,entry_pose_score,entry_velocity_score,entry_contact_score,entry_root_score,entry_music_score,entry_remaining_seconds,transition_duration_seconds,motion_timing,speed_multiplier,target_speed_multiplier,transition_speed_multiplier,phase_correction_remaining,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_rad_s,raw_max_wrist_speed_joint,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_rad_s,output_max_wrist_speed_joint,root_x,root_y,root_z,root_yaw,switch_anchor_xy_delta_m,switch_anchor_z_delta_m,switch_anchor_yaw_delta_rad,post_switch_xy_delta_m,post_switch_z_delta_m,post_switch_yaw_delta_rad,accepted_beat_time_seconds,accepted_beat_pose_error_rad,accepted_beat_delay_seconds,accepted_beat_limiter_joints,target_max_joint_speed_rad_s,output_max_joint_speed_rad_s,output_max_joint_acceleration_rad_s2,limiter_activated_joints,limiter_activation_rate,collision_override,limiter_enabled,terminal_safe_idle_active,ready_pool_size,ready_motion_ids,failed_motion_ids,motion_load_ms,motion_grounding_ms,entry_feature_ms,motion_fully_ready_ms,match_state,match_confidence,match_rejection_reason,beat_quality,signal_rms,dynamic_range_db,negative_style_score,top_genre,top_genre_score,track_margin,motion_margin,ranked_tracks,ranked_motions,query_tags,current_motion_cluster_id,pending_motion_cluster_id,top_track_id,top_track_score,top_motion_id,top_motion_score,query_bpm
0.000000,-0.997798000,,hermite,awaiting_retrieval,,,,,0,1.266517592075035e-11,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.000004515,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.091577420,left_wrist_yaw,0.000000000,,0.091577420,left_wrist_yaw,0.000000000,,0.000000,0.000000,0.913205,0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,0.000000,0.000000,0.000000,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.056000,0.061433500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.088361808,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.203860440,left_wrist_yaw,0.837213792,left_wrist_yaw,0.203860440,left_wrist_yaw,0.868482641,left_wrist_yaw,0.085394,0.051341,0.855008,-0.294695,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.251639,3.910858,63.812928,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.120000,0.135946500,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.094613024,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.143935915,left_wrist_yaw,0.266993423,right_wrist_yaw,0.143935915,left_wrist_yaw,0.278825669,right_wrist_yaw,0.087365,0.040958,0.873798,-0.402467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.538826,1.455505,81.220375,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.152000,0.170692200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.097379266,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.153815969,right_wrist_yaw,0.507129795,right_wrist_yaw,0.153815969,right_wrist_yaw,0.549141301,right_wrist_yaw,0.087149,0.035352,0.882257,-0.403539,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.122450,1.913536,31.170341,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.216000,0.236318600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.102961577,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.182557877,right_wrist_yaw,0.346158644,right_wrist_pitch,0.182557877,right_wrist_yaw,0.372684862,right_wrist_pitch,0.089208,0.030200,0.903680,-0.354443,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.706622,2.492214,62.620125,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.280000,0.295196000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.107835480,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.178716680,left_wrist_yaw,0.527820045,right_wrist_yaw,0.178716680,left_wrist_yaw,0.550569579,right_wrist_yaw,0.093411,0.028893,0.925150,-0.289814,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.976343,2.729715,52.839208,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.312000,0.327859000,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.110592634,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.194372382,left_wrist_yaw,0.791831486,right_wrist_pitch,0.194372382,left_wrist_yaw,0.967734685,right_wrist_pitch,0.096577,0.028586,0.933279,-0.239105,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,4.173782,3.802134,133.087746,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.376000,0.386839200,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.115454670,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.192169073,left_wrist_yaw,0.247971414,right_wrist_yaw,0.192169073,left_wrist_yaw,0.276360244,right_wrist_yaw,0.092200,0.032669,0.936110,-0.140796,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,2.105044,1.808577,42.960385,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.408000,0.419928600,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.118268470,,0.000000,,,,,,,,,,0.000000,beat-sync,1.000000,1.000000,,0.000000000,0.194904200,left_wrist_yaw,0.609454655,right_wrist_yaw,0.194904200,left_wrist_yaw,0.660320461,right_wrist_yaw,0.088600,0.035516,0.930331,-0.118489,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,,,1.650661,1.501886,82.753679,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
0.472000,0.477550400,,hermite,awaiting_retrieval,,,,,0,1.0,0,gWA_sBM_cAll_d26_mWA0_ch05,,,0.000000,,,,,,,0.123086553,,0.000000,,,,,,,,,,0.000000,beat-sync,0.967120,1.000000,,-0.075881378,0.200604959,left_wrist_yaw,0.097404346,left_wrist_yaw,0.200604959,left_wrist_yaw,0.107361006,left_wrist_yaw,0.081521,0.040398,0.904051,-0.142048,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.440000,0.000000000,,,5.428850,5.093105,112.999327,,0.000000000,0,1,0,0,,,,,,,warming_up,,,,,,,,,,,,,,WA:v0:k1:r1,,,,,,
